decade,rank,topic_final,topic_label,prevalence_pct
1970,1,21,VIAJES,18.92931938811186
1970,2,15,ESCENARIO,13.863521840193327
1970,3,1,MÚSICA Y CANCIONES,7.606235252279273
1970,4,26,FINANZAS,7.415745799608096
1970,5,2,CHILENOS vs OTRAS NACIONALIDADES,6.712682349562871
1970,6,28,TERREMOTOS,6.648660674120496
1970,7,13,CINE Y TV,6.6351273639368955
1970,8,20,FARMACIAS,6.017308963614033
1970,9,30,DOBLE SENTIDO,6.017308963614033
1970,10,0,ANIMALES,3.6533365851673705
1980,1,20,FARMACIAS,19.54188577414964
1980,2,21,VIAJES,19.299495960523444
1980,3,4,LA ABUELITA,15.241932661069766
1980,4,8,MATRIMONIOS Y AMANTES,9.649747980261722
1980,5,10,BAILAR,9.649747980261722
1980,6,16,RELIGIÓN,9.649747980261722
1980,7,1,MÚSICA Y CANCIONES,7.607253781143897
1980,8,25,EL MAR,3.215676586770823
1980,9,26,FINANZAS,1.4209240320290915
1980,10,12,ALCOHOL Y DROGAS,1.3771580947841906
1990,1,25,EL MAR,7.823364033126756
1990,2,31,NIÑEZ,6.9858257770587
1990,3,16,RELIGIÓN,6.28810606615764
1990,4,2,CHILENOS vs OTRAS NACIONALIDADES,6.183312654855304
1990,5,7,MEDIOS DE TRANSPORTE,6.073241597352671
1990,6,21,VIAJES,5.684358864055291
1990,7,18,GEOGRAFÍA DE CHILE,4.512995690535898
1990,8,24,DINERO,4.410148494260363
1990,9,20,FARMACIAS,3.9012122133510063
1990,10,11,DORMIR,3.7293329879764006
2000,1,5,HOMBRES vs MUJERES,8.403582410520766
2000,2,4,LA ABUELITA,6.409145025978597
2000,3,16,RELIGIÓN,6.227568607013619
2000,4,1,MÚSICA Y CANCIONES,5.6365656103471204
2000,5,20,FARMACIAS,5.374021689061424
2000,6,0,ANIMALES,5.052995966911255
2000,7,25,EL MAR,4.51723449810655
2000,8,21,VIAJES,4.273184833257873
2000,9,15,ESCENARIO,4.168761374401632
2000,10,17,TELÉFONOS,3.5868883165139707
2010,1,4,LA ABUELITA,7.530280458465466
2010,2,5,HOMBRES vs MUJERES,6.253376212873923
2010,3,2,CHILENOS vs OTRAS NACIONALIDADES,5.043834003757413
2010,4,3,POLÍTICA,4.77281125286673
2010,5,8,MATRIMONIOS Y AMANTES,4.116103707751853
2010,6,11,DORMIR,4.093700232302905
2010,7,26,FINANZAS,3.991847731826059
2010,8,22,MÉDICOS Y HOSPITALES,3.712539691957918
2010,9,0,ANIMALES,3.679442356105044
2010,10,29,RELACIONES AMOROSAS,3.6208305921414308
2020,1,13,CINE Y TV,7.3279800566951945
2020,2,1,MÚSICA Y CANCIONES,7.094137510337446
2020,3,6,MATERNIDAD Y PATERNIDAD,7.031851069491118
2020,4,2,CHILENOS vs OTRAS NACIONALIDADES,6.234427431211621
2020,5,3,POLÍTICA,5.84475996911481
2020,6,23,HIJOS,5.696014705896308
2020,7,4,LA ABUELITA,5.277832598135278
2020,8,19,PROFESORES,4.5392504960808
2020,9,27,RELACIONES SEXUALES,4.159076051812744
2020,10,9,COMIDA,4.031552259536291
